name,Farmers Fridge,University of Illinois at Chicago - Student Center West,600 W Chicago,Chase Tower,7-Eleven @ Kingsbury and Ontario ,Feinberg Pavilion - Northwestern Medicine,Chicago Midway Airport - Ticketing Employee Lounge,DeVry Chicago Campus (Students/Staff Only),525 W Monroe,200 W Jackson (Tenants Only),Allstate HQ (Tenants Only),CVS @ 137 State,West Suburban Medical Center,Merchandise Mart,American Airlines Lounge (Employees Only),Medical College of Wisconsin,100 E Wisconsin,O'Hare 3H Left,CME Center,Illinois Center,Schlitz Park Rivercenter,US Foods (Employees Only),North Park University,Epic Burger West Loop,University of Wisconsin-Milwaukee EMS Building,311 S Wacker (Tenants Only),MacNeal Hospital,General Growth Properties HQ (Employees Only),University of Illinois at Chicago - College of Medicine ,Prentice Women`s Hospital - Northwestern Medicine,DePaul University - Schmitt Academic Center,University of Illinois at Chicago - Behavioral Sciences,CNA Center (Employees Only),University of Illinois at Chicago - Richard J Daley Library (Students/Staff Only),Chicago Midway Airport - Southwest Employee Lounge,Schaumburg Towers,Loyola Medical Center,7-Eleven @ Jackson and Desplaines,Walgreens Corporate Office (Employees Only),Skokie Hospital / Northshore ,DeVry Addison (Students/Staff Only),CVS @ 344 Hubbard,REI Building ,Peggy Notebaert Nature Museum,MillerCoors HQ,Good Samaritan Hospital,Moraine Valley Community College: Police Academy- Building B,O'Hare Terminal 2 - Gate F6,Good Shepherd Hospital
Farmers Fridge,0.0,1.8740123531170445,1.9611247882459149,129.78489936548118,1.9530802998922747,3.537629308768325,12.633517664449187,6.796841235550654,1.8839041166469037,2.4013190187900797,29.152471544357443,2.9284067345864693,9.480298442131245,2.219282834574124,22.872588976886362,2.008344801519196,129.89917790095677,22.764518173462754,2.0580927093268415,3.1825972883278375,131.21930867793174,19.881726359828193,2.008344801519196,1.7815695158422094,133.66944402095044,2.309301851100505,11.821155809493087,2.0304857627933193,1.8726554934832107,3.6122488908378148,4.361297059522316,1.4762164259794186,3.1277191798712716,1.7485625057632357,12.633517664449187,36.24877381464667,14.600360341292353,1.7104303233401073,34.01040913609744,20.1914972552727,31.981525372269925,2.119562699428491,2.761561469404038,5.060180056396227,2.1688574314479894,2.008344801519196,2.008344801519196,22.494800127052933,54.58171022528926
University of Illinois at Chicago - Student Center West,1.8740123531170445,0.0,3.8161569795351395,131.16713434073375,3.71345513590606,5.135567225042882,10.761118818665524,8.02179186148669,3.020878049682658,3.4308128327812115,29.847182819934865,4.024228550717319,8.708976596103856,3.7540036638403134,22.729280072541076,3.8478409861478666,131.28141401047858,22.584355580184052,3.2636849264767016,4.598741843269773,132.60303418133967,20.022865809493094,3.8478409861478666,2.8700515253815104,135.0753433086591,3.2681974624448236,10.300863497473228,3.3781975585682495,0.10557583572561095,5.2463084023983955,6.096401259669396,1.801860802650019,4.111218274720815,1.9903723581561572,10.761118818665524,36.1577421001011,13.351960899204396,2.661676271155386,34.89422444547516,21.366804964995186,31.367485120491747,3.745690714978185,4.61737678150402,6.912548359555385,3.184910796325865,3.8478409861478666,3.8478409861478666,22.32362337391143,54.79755639599667
600 W Chicago,1.9611247882459149,3.8161569795351395,0.0,128.64646658537458,0.5648413402657547,2.0075690244680606,14.546947070656012,6.272190402548954,1.96963217111788,2.294704943544766,28.92256138358211,2.4701811754830363,10.86796593868322,1.3066378055664933,23.556958372688197,0.14283547548409162,128.76072811188737,23.48505025640035,1.903577142234769,2.086831906133261,130.0787832388593,20.306954743734,0.14283547548409162,2.0209722889038075,132.50024959633265,2.354648668577849,13.66336972814644,1.651192573917395,3.802562713743062,2.000909478307618,3.0600436531836923,2.7395821829709126,2.7602884265752414,2.886877008669756,14.546947070656012,36.827000484601186,16.26296009521211,2.1880712583967807,33.544692746102676,19.43152719226843,33.06623770627889,1.0419807943873427,1.188399865532944,3.316451575114651,2.2221108417765256,0.14283547548409162,0.14283547548409162,23.2084472718484,54.8136253426462
Chase Tower,129.78489936548118,131.16713434073375,128.64646658537458,0.0,129.15426275608107,129.30666749058577,139.62495025440805,123.14911526599002,130.614388205312,130.88058845072686,104.70415024386794,130.85243912569578,127.95825649805813,129.80063857689626,117.79495015993996,128.73351330646108,0.1142805052636861,118.24934446627385,130.5245060264569,130.0317296043447,1.4434755737195013,116.74631927328362,128.73351330646108,130.66651971274516,4.630472533385321,130.97220390558923,133.18122007935338,130.25646363449465,131.23480531852272,129.1243206946151,125.60459892280402,131.16387352843503,131.12902447504624,131.38666850652328,139.62495025440805,110.91532860033664,131.06435680151205,130.82045108112018,98.64741371982676,109.9891562842155,121.46082429193243,129.55912162513334,127.46193007930695,125.54925387058547,130.8512578457162,128.73351330646108,128.73351330646108,118.27991525260043,96.07294378819012
7-Eleven @ Kingsbury and Ontario ,1.9530802998922747,3.71345513590606,0.5648413402657547,129.15426275608107,0.0,1.6586707687771975,14.35524706184908,6.836692194418846,1.4696465629079014,1.7481445858809643,29.48584544692269,1.9054429096772907,11.17817900121727,0.7424417247937003,24.03895751444783,0.4415654144844371,129.26852007709775,23.961254015578024,1.371654889349298,1.580985722549622,130.5862344016542,20.82288127358143,0.4415654144844371,1.5437767471060164,133.00308633186168,1.8218310926854198,13.767771545467614,1.1085365529846152,3.684600483481067,1.6992894336817113,3.5964317439849824,2.411313326356957,2.1954499613095275,2.515917968288737,14.35524706184908,37.32796028750643,16.474218294147885,1.7389672255820472,34.10876657032539,19.986179339285627,33.47409426447122,0.47875440516079776,1.7265752511626231,3.726499168302005,1.697225560308563,0.4415654144844371,0.4415654144844371,23.68564733544644,55.35427675963326
Feinberg Pavilion - Northwestern Medicine,3.537629308768325,5.135567225042882,2.0075690244680606,129.30666749058577,1.6586707687771975,0.0,15.481761816531941,7.858286346736628,2.247663314071485,2.097962343991557,30.46839553481488,1.739480096584043,12.833826288847373,1.3816298295420075,25.514002425430935,1.872872010155923,129.42088607921843,25.450180914509087,2.0092759538647353,0.8013973477681235,130.73621142106003,22.194537260340386,1.872872010155923,2.395271325054085,133.122729453301,2.2712329674110996,15.345459308075169,1.8095695103323897,5.087079016183415,0.18870347565492043,4.310127032555985,3.526488525607373,1.9537357494986494,3.5095641117454033,15.481761816531941,38.7465619409465,18.118415548562126,2.63794344059647,34.914709077273706,20.61454596703327,35.07346837707831,1.4211677350126806,2.70849442530239,3.819185794093938,2.248842862275366,1.872872010155923,1.872872010155923,25.17232884830136,56.58955483853671
Chicago Midway Airport - Ticketing Employee Lounge,12.633517664449187,10.761118818665524,14.546947070656012,139.62495025440805,14.35524706184908,15.481761816531941,0.0,17.601348225314787,13.240869470897875,13.413744276300461,35.8945692821599,13.900367972914376,11.80206061969996,14.179353185418293,25.239942242519678,14.561482685737769,139.73907043287653,24.91884667041117,13.474398014393454,14.76199956091099,141.06635202723,24.256921880218385,14.561482685737769,13.09784287915118,143.6476526440374,13.23350412977673,7.440495566493681,13.691961957415637,10.761220724414242,15.635184035472752,16.70580384405553,12.001534422895826,13.813455701726129,11.980975327345408,0.0,37.95379330585671,11.140281570968224,12.854714040172198,41.62067714471924,29.804727173511004,30.42471320703874,14.260232618797104,15.37214947550851,17.65845780786015,13.238496556067528,14.561482685737769,14.561482685737769,24.735654542580058,57.677559041517966
DeVry Chicago Campus (Students/Staff Only),6.796841235550654,8.02179186148669,6.272190402548954,123.14911526599002,6.836692194418846,7.858286346736628,17.601348225314787,0.0,8.092240728130394,8.511047167344671,22.65639539035522,8.742037249689755,8.995522536211634,7.578828190938231,18.373843197553082,6.402564262795383,123.26339387642257,18.38226627696823,8.098828670183797,8.257768919959824,124.58530193313379,14.696029668170299,6.402564262795383,8.087933646236754,127.0635286175583,8.532742969587815,13.84446128482025,7.877555247856564,8.092202231989576,7.744115100975783,3.6187045757333083,8.258575303970778,9.031412451764643,8.516802238073948,17.601348225314787,31.29042990163207,14.957463253656716,8.167297598443945,27.302866370582244,13.399275233742582,28.716618625164266,7.3140704486162145,5.203993004766745,4.7883278083483996,8.385836206622647,6.402564262795383,6.402564262795383,18.09665135554609,48.77709868779107
525 W Monroe,1.8839041166469037,3.020878049682658,1.96963217111788,130.614388205312,1.4696465629079014,2.247663314071485,13.240869470897875,8.092240728130394,0.0,0.5185570180213451,30.67683196815408,1.0641872026385832,11.326406761533505,0.9737317859449229,24.72858101703278,1.8811473043142308,130.7286483905924,24.626355637299568,0.24737169210029938,1.5999870214420657,132.04658989870424,21.675246276683566,1.8811473043142308,0.15325973421878464,134.46619341538212,0.4592262295381018,13.320150046150403,0.45861990783391765,2.9556330047439126,2.395445221566787,5.027086015156342,1.2942632536957186,1.244426620916321,1.2621872136178296,13.240869470897875,38.0885797742563,16.293629727312307,0.3912041286215285,35.395070691588536,21.358282990081896,33.861683970688894,1.137353765569292,3.157488846638682,5.186140007608186,0.3075975937344596,1.8811473043142308,1.8811473043142308,24.35545205688339,56.325110648292174
200 W Jackson (Tenants Only),2.4013190187900797,3.4308128327812115,2.294704943544766,130.88058845072686,1.7481445858809643,2.097962343991557,13.413744276300461,8.511047167344671,0.5185570180213451,0.0,31.124089477512534,0.5935257683960725,11.828503368240154,1.0838339127504384,25.245048647503314,2.1858250160940664,130.99484064255753,25.143585949266512,0.41552446156977196,1.3483609404127221,132.31217212097712,22.18131859547339,2.1858250160940664,0.6270442529154694,134.72370006631598,0.1821932209105578,13.726766870306747,0.6436590056482892,3.3575033500209117,2.268000617612986,5.344576329335513,1.6435642860713664,0.7317545093966111,1.531709873945944,13.413744276300461,38.602381327204455,16.749903650677417,0.7805580790972625,35.808654599650204,21.725370396287286,34.37550740841972,1.321596803134609,3.4740612294524427,5.374348229932881,0.25070352817743136,2.1858250160940664,2.1858250160940664,24.87253794314925,56.81958994758522
